# AeroScout
parameter,independent_variables,3
alpha[deg],beta[deg],rudder[deg],Cx,Cy,Cz,Cl,Cm,Cn
-16.666666666667,5.0,18.75,-0.008248730287,0.046840957427,0.001512551433,0.002453528585,0.007460691464,-0.021841899989
-16.666666666667,5.0,25.0,-0.012286135193,0.058508235442,0.001981185729,0.003058703981,0.010442939975,-0.027415215479
-16.666666666667,10.0,-25.0,-0.010720035302,-0.060984884928,-0.00074115599,-0.003311894934,0.003807979175,0.02859263852
-16.666666666667,10.0,-18.75,-0.006989060669,-0.048526743248,-0.000690980047,-0.002634531069,0.002107556562,0.022640667426
-16.666666666667,10.0,-12.5,-0.003744402319,-0.034192431961,-0.000560635074,-0.001854873805,0.000432522575,0.015883950649
-16.666666666667,10.0,-6.25,-0.001213932107,-0.017279714682,-0.000315294957,-0.000936648209,-0.000177123689,0.008015548249
-16.666666666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,10.0,6.25,-0.001754308132,0.016966642152,0.000770279209,0.000915009767,0.002560023221,-0.007869771508
-16.666666666667,10.0,12.5,-0.004767462786,0.033219382943,0.001574674727,0.001786601826,0.005922614225,-0.015426041458
-16.666666666667,10.0,18.75,-0.008438999549,0.046715952915,0.002323584359,0.002506066785,0.009452815742,-0.021783289064
-16.666666666667,10.0,25.0,-0.012474230029,0.058220462893,0.003028156483,0.003115680566,0.013041686988,-0.027278266117
-16.666666666667,15.0,-25.0,-0.010138546827,-0.06276090316,-0.001200345888,-0.003534194821,0.003042341364,0.029444910459
-16.666666666667,15.0,-18.75,-0.006530323651,-0.049882489989,-0.001097519178,-0.002803790754,0.001413836731,0.023286745925
-16.666666666667,15.0,-12.5,-0.003377243049,-0.03505299753,-0.000878522698,-0.001968015656,0.000278526802,0.016292612081
-16.666666666667,15.0,-6.25,-0.00106961109,-0.017670988655,-0.000494514734,-0.000990312028,-0.000627509744,0.008200432535
-16.666666666667,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,15.0,6.25,-0.001870874786,0.017185909434,0.000979213599,0.000957003643,0.003195826191,-0.007973702642
-16.666666666667,15.0,12.5,-0.004996838997,0.033539317458,0.002018192612,0.001862313421,0.007017397298,-0.015577002195
-16.666666666667,15.0,18.75,-0.008726560965,0.047037083455,0.002988466009,0.002604497112,0.011115394544,-0.021933325481
-16.666666666667,15.0,25.0,-0.012793029123,0.058477650597,0.003901671622,0.003229498347,0.015235107996,-0.027395709538
-16.666666666667,20.0,-25.0,-0.009449070638,-0.065359234018,-0.001442509277,-0.003810986902,0.002992083493,0.030687347465
-16.666666666667,20.0,-18.75,-0.005972558964,-0.051753746631,-0.001328105699,-0.003015726237,0.001328114952,0.024179936354
-16.666666666667,20.0,-12.5,-0.002978918997,-0.036247254574,-0.001073031513,-0.002110675429,0.00021511833,0.016860879651
-16.666666666667,20.0,-6.25,-0.000895041225,-0.018254327423,-0.000613616,-0.001058571278,-0.000907926417,0.00847566913
-16.666666666667,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,20.0,6.25,-0.002046125687,0.017623067519,0.001132020053,0.001012961296,0.003579749591,-0.00817819436
-16.666666666667,20.0,12.5,-0.00530759019,0.034283311616,0.002351869082,0.001964916107,0.007965998344,-0.015922770993
-16.666666666667,20.0,18.75,-0.009163565436,0.047935029818,0.003498783081,0.002740247318,0.012334989673,-0.022347714369
-16.666666666667,20.0,25.0,-0.013308028909,0.059440172084,0.004582332058,0.003389319229,0.016884139709,-0.027835480056
-13.333333333333,-20.0,-25.0,-0.012535723198,-0.060375136342,0.005255775589,-0.003241613336,0.018807534466,0.028436750959
-13.333333333333,-20.0,-18.75,-0.008495609413,-0.048698265998,0.00402447315,-0.002623698433,0.013866636792,0.022830163102
-13.333333333333,-20.0,-12.5,-0.004804337736,-0.034834925198,0.00271285265,-0.001883579545,0.008956116729,0.01626597735
-13.333333333333,-20.0,-6.25,-0.001770303862,-0.017910719784,0.001306924249,-0.000972259494,0.004060789601,0.008355022
