# AeroScout
parameter,independent_variables,2
alpha[deg],qbar,Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-0.008739212631,0.010530286355,-0.0,0.048223848727,-0.0,0.118783961467,-0.0
-20.0,-0.006991370104,0.008109931621,-0.0,0.038378169539,0.0,0.094527835946,-0.0
-20.0,-0.005243527578,0.005850799243,-0.0,0.028635225747,-0.0,0.070527012497,-0.0
-20.0,-0.003495685052,0.003748758886,0.0,0.018992748924,-0.0,0.046775888049,-0.0
-20.0,-0.001747842526,0.001799793604,0.0,0.009448446126,-0.0,0.023268794767,-0.0
-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,0.001747842526,-0.001654411727,0.0,-0.009354931062,-0.0,-0.023036293416,-0.0
-20.0,0.003495685052,-0.003167117805,-0.0,-0.01861871273,-0.0,-0.0458459467,-0.0
-20.0,0.005243527578,-0.004541680968,0.0,-0.027793734506,-0.0,-0.068434884555,-0.0
-20.0,0.006991370104,-0.005781550601,-0.0,-0.036882409473,-0.0,-0.090809094518,0.0
-20.0,0.008739212631,-0.006890062934,0.0,-0.045887174005,0.0,-0.112974626215,-0.0
-16.666666666667,-0.008739212631,0.008676757578,-0.0,0.044590744398,-0.0,0.113039040232,-0.0
-16.666666666667,-0.006991370104,0.006672316348,0.0,0.0355001774,-0.0,0.089996552668,0.0
-16.666666666667,-0.005243527578,0.004805768707,0.0,0.026498208196,-0.0,0.067177328783,0.0
-16.666666666667,-0.003495685052,0.00307371122,0.0,0.017582459191,0.0,0.044575474508,-0.0
-16.666666666667,-0.001747842526,0.001472849906,0.0,0.008750530448,0.0,0.02218503591,-0.0
-16.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,0.001747842526,-0.001347914332,0.0,-0.008671575801,-0.0,-0.021985704393,0.0
-16.666666666667,0.003495685052,-0.002573860313,-0.0,-0.017266661914,-0.0,-0.043778205667,-0.0
-16.666666666667,0.005243527578,-0.00368069692,0.0,-0.025787744204,-0.0,-0.065383688419,-0.0
-16.666666666667,0.006991370104,-0.004671175285,-0.0,-0.034237329008,-0.0,-0.086808392346,0.0
-16.666666666667,0.008739212631,-0.005547939125,0.0,-0.042617942666,-0.0,-0.108058611068,0.0
-13.333333333333,-0.008739212631,0.007149346423,0.0,0.041129565299,0.0,0.108199515966,0.0
-13.333333333333,-0.006991370104,0.005485397286,0.0,0.032759631267,0.0,0.086190600607,-0.0
-13.333333333333,-0.005243527578,0.003941186072,0.0,0.024464189508,-0.0,0.064372368328,-0.0
-13.333333333333,-0.003495685052,0.002513962391,0.0,0.016240767867,0.0,0.042738668247,0.0
-13.333333333333,-0.001747842526,0.001201080729,0.0,0.008086874829,0.0,0.021283297009,-0.0
-13.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-13.333333333333,0.001747842526,-0.001091716928,0.0,-0.008022385386,0.0,-0.021117527368,-0.0
-13.333333333333,0.003495685052,-0.002076403733,-0.0,-0.015982827927,0.0,-0.042075638316,-0.0
-13.333333333333,0.005243527578,-0.002956291155,0.0,-0.023883891497,-0.0,-0.062880733284,0.0
-13.333333333333,0.006991370104,-0.00373350754,0.0,-0.031728156663,-0.0,-0.083539258492,0.0
-13.333333333333,0.008739212631,-0.004410079413,0.0,-0.039518220105,0.0,-0.104057704472,0.0
-10.0,-0.008739212631,0.005901175049,-0.0,0.037846065805,-0.0,0.104202435866,0.0
-10.0,-0.006991370104,0.004512267562,-0.0,0.030163858882,-0.0,0.083066380415,-0.0
-10.0,-0.005243527578,0.003227468799,0.0,0.022560305822,-0.0,0.062132922247,-0.0
-10.0,-0.003495685052,0.002050135372,-0.0,0.014985353785,-0.0,0.041278312415,0.0
-10.0,-0.001747842526,0.00097586636,-0.0,0.007460672551,0.0,0.020556058461,0.0
-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.0,0.001747842526,-0.00087812272,-0.0,-0.007408581945,-0.0,-0.020419384066,0.0
-10.0,0.003495685052,-0.00166026129,-0.0,-0.01476781999,-0.0,-0.040708964397,-0.0
-10.0,0.005243527578,-0.002349280588,-0.0,-0.022071697034,-0.0,-0.06085399441,0.0
-10.0,0.006991370104,-0.00294413634,0.0,-0.029339360301,0.0,-0.080901787328,-0.0
-10.0,0.008739212631,-0.003445549513,0.0,-0.036591366626,-0.0,-0.100903145737,-0.0
-6.666666666667,-0.008739212631,0.004902168819,-0.0,0.034785898388,0.0,0.10105492472,0.0
-6.666666666667,-0.006991370104,0.003736351571,-0.0,0.027734462832,0.0,0.080591711997,0.0
-6.666666666667,-0.005243527578,0.002664260819,0.0,0.0207366592,0.0,0.060271010326,0.0
-6.666666666667,-0.003495685052,0.00168555322,-0.0,0.013783795114,0.0,0.040070851171,0.0
-6.666666666667,-0.001747842526,0.000798713218,-0.0,0.006872585222,0.0,0.019982992245,0.0
