# AeroScout
parameter,independent_variables,2
alpha[deg],pbar,Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-0.113882733693,0.007593612727,0.010792950019,0.009577156522,0.071364920376,-0.003134614767,-0.023678231327
-20.0,-0.091106186954,0.004864741578,0.008626035219,0.006140002141,0.057000551986,-0.001996022648,-0.018915372153
-20.0,-0.068329640216,0.00273853892,0.006464668314,0.003458380106,0.042697184138,-0.001118392455,-0.014170597656
-20.0,-0.045553093477,0.001217804008,0.004307464515,0.00153852263,0.028439469937,-0.000495691531,-0.009439458171
-20.0,-0.022776546739,0.000304552536,0.002153037713,0.000384849884,0.01421214478,-0.000123718739,-0.00471744289
-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-20.0,0.022776546739,0.000304552536,-0.002153037713,0.000384849884,-0.01421214478,-0.000123718739,0.00471744289
-20.0,0.045553093477,0.001217804008,-0.004307464515,0.00153852263,-0.028439469937,-0.000495691531,0.009439458171
-20.0,0.068329640216,0.00273853892,-0.006464668314,0.003458380106,-0.042697184138,-0.001118392455,0.014170597656
-20.0,0.091106186954,0.004864741578,-0.008626035219,0.006140002141,-0.057000551986,-0.001996022648,0.018915372153
-20.0,0.113882733693,0.007593612727,-0.010792950019,0.009577156522,-0.071364920376,-0.003134614767,0.023678231327
-16.666666666667,-0.113882733693,0.007065129947,0.008931432801,0.007477404983,0.067151732567,-0.003436252029,-0.018275801288
-16.666666666667,-0.091106186954,0.004525288614,0.007137696679,0.004800333233,0.053626212116,-0.002180415438,-0.014596938131
-16.666666666667,-0.068329640216,0.00254707423,0.005348951823,0.002706689835,0.040164204338,-0.001218220953,-0.010933816783
-16.666666666667,-0.045553093477,0.001132545931,0.00356391914,0.001205044399,0.026749752429,-0.000538798657,-0.007282576885
-16.666666666667,-0.022776546739,0.00028321394,0.001781346669,0.00030157244,0.013366965806,-0.000134303804,-0.003639293836
-16.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.666666666667,0.022776546739,0.00028321394,-0.001781346669,0.00030157244,-0.013366965806,-0.000134303804,0.003639293836
-16.666666666667,0.045553093477,0.001132545931,-0.00356391914,0.001205044399,-0.026749752429,-0.000538798657,0.007282576885
-16.666666666667,0.068329640216,0.00254707423,-0.005348951823,0.002706689835,-0.040164204338,-0.001218220953,0.010933816783
-16.666666666667,0.091106186954,0.004525288614,-0.007137696679,0.004800333233,-0.053626212116,-0.002180415438,0.014596938131
