# AeroScout
parameter,independent_variables,2
alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
-20.0,-20.0,0.453701383112,0.210027548104,1.341799403283,0.072466534602,0.290733363164,-0.046651311477
-20.0,-15.0,0.479472551404,0.155626134841,1.382449946583,0.056275120864,0.279492414481,-0.036438352955
-20.0,-10.0,0.504870603522,0.102988904941,1.411325226332,0.038481023985,0.269632850369,-0.024909546508
-20.0,-5.0,0.521983716775,0.051228112202,1.428208665913,0.019444973518,0.261453490816,-0.01257607302
-20.0,0.0,0.528421368455,-0.0,1.433680955549,0.0,0.258130673053,0.0
-20.0,5.0,0.521983716775,-0.051228112202,1.428208665913,-0.019444973518,0.261453490816,0.01257607302
-20.0,10.0,0.504870603522,-0.102988904941,1.411325226332,-0.038481023985,0.269632850369,0.024909546508
-20.0,15.0,0.479472551404,-0.155626134841,1.382449946583,-0.056275120864,0.279492414481,0.036438352955
-20.0,20.0,0.453701383112,-0.210027548104,1.341799403283,-0.072466534602,0.290733363164,0.046651311477
-16.666666666667,-20.0,0.271064174042,0.211185997416,1.070515287394,0.064426464135,0.271809911349,-0.041438397133
-16.666666666667,-15.0,0.288346098839,0.156724774668,1.110102134853,0.050438912535,0.274916904127,-0.032382605588
-16.666666666667,-10.0,0.306867650337,0.103834635241,1.137960042554,0.034601331695,0.274048457586,-0.022097526879
-16.666666666667,-5.0,0.321004681136,0.051627157998,1.153640749975,0.017470693876,0.269051476153,-0.01109392541
-16.666666666667,0.0,0.326656592526,-0.0,1.158575925514,0.0,0.266233667106,-0.0
-16.666666666667,5.0,0.321004681136,-0.051627157998,1.153640749975,-0.017470693876,0.269051476153,0.01109392541
-16.666666666667,10.0,0.306867650337,-0.103834635241,1.137960042554,-0.034601331695,0.274048457586,0.022097526879
-16.666666666667,15.0,0.288346098839,-0.156724774668,1.110102134853,-0.050438912535,0.274916904127,0.032382605588
-16.666666666667,20.0,0.271064174042,-0.211185997416,1.070515287394,-0.064426464135,0.271809911349,0.041438397133
-13.333333333333,-20.0,0.142735809221,0.21145213444,0.802410202433,0.055360862601,0.237832465513,-0.036994075045
-13.333333333333,-15.0,0.151221927966,0.157023492649,0.842401213812,0.043906060707,0.262944735581,-0.028908386344
-13.333333333333,-10.0,0.161064784686,0.104546770985,0.865240996122,0.030147542149,0.26396549996,-0.019843421521
-13.333333333333,-5.0,0.170828237671,0.051990718993,0.87866261439,0.015159679321,0.261344773335,-0.00989368914
-13.333333333333,0.0,0.175413149748,-0.0,0.883324145713,-0.0,0.260241251402,0.0
-13.333333333333,5.0,0.170828237671,-0.051990718993,0.87866261439,-0.015159679321,0.261344773335,0.00989368914
-13.333333333333,10.0,0.161064784686,-0.104546770985,0.865240996122,-0.030147542149,0.26396549996,0.019843421521
-13.333333333333,15.0,0.151221927966,-0.157023492649,0.842401213812,-0.043906060707,0.262944735581,0.028908386344
-13.333333333333,20.0,0.142735809221,-0.21145213444,0.802410202433,-0.055360862601,0.237832465513,0.036994075045
-10.0,-20.0,0.063317141155,0.210650404358,0.536117258613,0.045300648273,0.187878230964,-0.03336371471
-10.0,-15.0,0.062293366819,0.156485559476,0.571970406108,0.036647160755,0.226900101083,-0.026078070663
-10.0,-10.0,0.06380817691,0.104099233571,0.594347952792,0.025234361133,0.243665109125,-0.017803404504
-10.0,-5.0,0.067780646088,0.05208898661,0.604887379944,0.012571992891,0.243428974969,-0.008938659397
-10.0,0.0,0.070418769048,0.0,0.607838329294,0.0,0.241081948759,-0.0
-10.0,5.0,0.067780646088,-0.05208898661,0.604887379944,-0.012571992891,0.243428974969,0.008938659397
-10.0,10.0,0.06380817691,-0.104099233571,0.594347952792,-0.025234361133,0.243665109125,0.017803404504
-10.0,15.0,0.062293366819,-0.156485559476,0.571970406108,-0.036647160755,0.226900101083,0.026078070663
-10.0,20.0,0.063317141155,-0.210650404358,0.536117258613,-0.045300648273,0.187878230964,0.03336371471
-6.666666666667,-20.0,0.024841395335,0.207313244003,0.28196903955,0.034671536004,0.151711290824,-0.029591090958
-6.666666666667,-15.0,0.016880848922,0.153107034343,0.296962268973,0.026847681678,0.162995011123,-0.022699099854
-6.666666666667,-10.0,0.011435214592,0.101784421891,0.315359884782,0.019036455185,0.188852415831,-0.015656272272
-6.666666666667,-5.0,0.008665494592,0.051202373631,0.328686711763,0.009883485666,0.207191337157,-0.008029877722
-6.666666666667,0.0,0.008579146085,0.0,0.332538033739,-0.0,0.210479693343,-0.0
-6.666666666667,5.0,0.008665494592,-0.051202373631,0.328686711763,-0.009883485666,0.207191337157,0.008029877722
-6.666666666667,10.0,0.011435214592,-0.101784421891,0.315359884782,-0.019036455185,0.188852415831,0.015656272272
-6.666666666667,15.0,0.016880848922,-0.153107034343,0.296962268973,-0.026847681678,0.162995011123,0.022699099854
-6.666666666667,20.0,0.024841395335,-0.207313244003,0.28196903955,-0.034671536004,0.151711290824,0.029591090958
-3.333333333333,-20.0,0.005749485529,0.201148105651,0.033473510197,0.024601234843,0.122381097798,-0.02579098638
-3.333333333333,-15.0,-0.003605973817,0.146588329032,0.039976895223,0.018864540723,0.137599938284,-0.018844964032
-3.333333333333,-10.0,-0.009977211374,0.095947298888,0.050638485929,0.013641725947,0.161246529178,-0.012373542067
-3.333333333333,-5.0,-0.014216357046,0.047736763449,0.053827313656,0.006850429892,0.163557268697,-0.006183124311
-3.333333333333,0.0,-0.015723242382,-0.0,0.055172969877,-0.0,0.163533913691,0.0
-3.333333333333,5.0,-0.014216357046,-0.047736763449,0.053827313656,-0.006850429892,0.163557268697,0.006183124311
-3.333333333333,10.0,-0.009977211374,-0.095947298888,0.050638485929,-0.013641725947,0.161246529178,0.012373542067
-3.333333333333,15.0,-0.003605973817,-0.146588329032,0.039976895223,-0.018864540723,0.137599938284,0.018844964032
-3.333333333333,20.0,0.005749485529,-0.201148105651,0.033473510197,-0.024601234843,0.122381097798,0.02579098638
0.0,-20.0,0.003618611979,0.193106125274,-0.211147849459,0.015220246278,0.10392787399,-0.022466941216
0.0,-15.0,-0.005412946786,0.138059098617,-0.206697494997,0.012188182215,0.131698166229,-0.015286551252
0.0,-10.0,-0.011882483056,0.087887164277,-0.215532173806,0.007403872375,0.127403881834,-0.008873515421
0.0,-5.0,-0.015924368355,0.04263021505,-0.221690753374,0.00327051105,0.110878404035,-0.00391703383
0.0,0.0,-0.01725342922,0.0,-0.225108097055,-0.0,0.103814304637,-0.0
0.0,5.0,-0.015924368355,-0.04263021505,-0.221690753374,-0.00327051105,0.110878404035,0.00391703383
0.0,10.0,-0.011882483056,-0.087887164277,-0.215532173806,-0.007403872375,0.127403881834,0.008873515421
0.0,15.0,-0.005412946786,-0.138059098617,-0.206697494997,-0.012188182215,0.131698166229,0.015286551252
0.0,20.0,0.003618611979,-0.193106125274,-0.211147849459,-0.015220246278,0.10392787399,0.022466941216
3.333333333333,-20.0,0.019105038563,0.18147499823,-0.482016684803,0.003560902925,0.071238804157,-0.020112067652
3.333333333333,-15.0,0.01124728984,0.128733911143,-0.464401394226,0.004626445861,0.114160589845,-0.012894776835
3.333333333333,-10.0,0.006345838463,0.080283795557,-0.489706381128,0.000545205289,0.076245615457,-0.006641449461
3.333333333333,-5.0,0.003218734084,0.03839826869,-0.503057315237,-0.000628908991,0.042946421915,-0.002607209868
3.333333333333,0.0,0.002300403358,-0.0,-0.508320390887,0.0,0.031524625817,0.0
3.333333333333,5.0,0.003218734084,-0.03839826869,-0.503057315237,0.000628908991,0.042946421915,0.002607209868
3.333333333333,10.0,0.006345838463,-0.080283795557,-0.489706381128,-0.000545205289,0.076245615457,0.006641449461
3.333333333333,15.0,0.01124728984,-0.128733911143,-0.464401394226,-0.004626445861,0.114160589845,0.012894776835
3.333333333333,20.0,0.019105038563,-0.18147499823,-0.482016684803,-0.003560902925,0.071238804157,0.020112067652
6.666666666667,-20.0,0.050584422421,0.172184371836,-0.756907714026,-0.008797207655,-0.004509491921,-0.019787167565
6.666666666667,-15.0,0.046652452465,0.121819522171,-0.749691561593,-0.005879651539,0.031967986482,-0.012894378863
6.666666666667,-10.0,0.0449769776,0.07643258454,-0.771109896765,-0.00616268069,0.000974061168,-0.007062241588
6.666666666667,-5.0,0.043710082143,0.037826466246,-0.788027012774,-0.004182602224,-0.039953942519,-0.003470173878
6.666666666667,0.0,0.043291003612,0.0,-0.794297269957,0.0,-0.053988662814,-0.0
6.666666666667,5.0,0.043710082143,-0.037826466246,-0.788027012774,0.004182602224,-0.039953942519,0.003470173878
6.666666666667,10.0,0.0449769776,-0.07643258454,-0.771109896765,0.00616268069,0.000974061168,0.007062241588
6.666666666667,15.0,0.046652452465,-0.121819522171,-0.749691561593,0.005879651539,0.031967986482,0.012894378863
6.666666666667,20.0,0.050584422421,-0.172184371836,-0.756907714026,0.008797207655,-0.004509491921,0.019787167565
10.0,-20.0,0.103896480468,0.165374800685,-1.053317936325,-0.022973926073,-0.112801522543,-0.022821820847
10.0,-15.0,0.103430128115,0.118537560402,-1.052558988765,-0.01704996225,-0.097106512172,-0.015983432598
10.0,-10.0,0.105203099213,0.077307377113,-1.067210332678,-0.012719492208,-0.117429195868,-0.010607515812
10.0,-5.0,0.106200430352,0.040307357264,-1.078782884297,-0.006962623893,-0.142060565193,-0.006227122407
10.0,0.0,0.106144213027,-0.0,-1.082546982068,-0.0,-0.152578899738,0.0
10.0,5.0,0.106200430352,-0.040307357264,-1.078782884297,0.006962623893,-0.142060565193,0.006227122407
10.0,10.0,0.105203099213,-0.077307377113,-1.067210332678,0.012719492208,-0.117429195868,0.010607515812
10.0,15.0,0.103430128115,-0.118537560402,-1.052558988765,0.01704996225,-0.097106512172,0.015983432598
10.0,20.0,0.103896480468,-0.165374800685,-1.053317936325,0.022973926073,-0.112801522543,0.022821820847
13.333333333333,-20.0,0.177459819677,0.1588980062,-1.343548828592,-0.035723695171,-0.225531184455,-0.027655537668
13.333333333333,-15.0,0.183563474819,0.115961453514,-1.352365961402,-0.026978228083,-0.228759366807,-0.020961013311
13.333333333333,-10.0,0.188196006067,0.077250653204,-1.361932487637,-0.018679673147,-0.24035462099,-0.014735926323
13.333333333333,-5.0,0.190799616622,0.041114101569,-1.370139407261,-0.009590458958,-0.257539627975,-0.008701199694
13.333333333333,0.0,0.191293624113,0.0,-1.372822988085,0.0,-0.264773172558,-0.0
13.333333333333,5.0,0.190799616622,-0.041114101569,-1.370139407261,0.009590458958,-0.257539627975,0.008701199694
13.333333333333,10.0,0.188196006067,-0.077250653204,-1.361932487637,0.018679673147,-0.24035462099,0.014735926323
13.333333333333,15.0,0.183563474819,-0.115961453514,-1.352365961402,0.026978228083,-0.228759366807,0.020961013311
13.333333333333,20.0,0.177459819677,-0.1588980062,-1.343548828592,0.035723695171,-0.225531184455,0.027655537668
16.666666666667,-20.0,0.276022529876,0.1543901517,-1.646546854681,-0.047816237699,-0.368227692599,-0.035332034437
16.666666666667,-15.0,0.286093395226,0.112366484853,-1.649955987363,-0.035643269403,-0.364943720597,-0.026690498229
16.666666666667,-10.0,0.293881452351,0.075211462211,-1.657131052337,-0.024090267807,-0.374138534534,-0.01877601878
16.666666666667,-5.0,0.298125115196,0.039606765476,-1.6625773,-0.012078462578,-0.38562628495,-0.010519641947
16.666666666667,0.0,0.299371175776,0.0,-1.664603897328,0.0,-0.390406397136,0.0
16.666666666667,5.0,0.298125115196,-0.039606765476,-1.6625773,0.012078462578,-0.38562628495,0.010519641947
